place_id,name,IG_link,img_source
ChIJ9c4-f4ypQjQRXltpsRFuLt0,泰品泰式雲南料理,https://www.instagram.com/explore/locations/293852198/,https://www.instagram.com/p/CD1TJlxhz4C/
ChIJGdF1HIupQjQRTff4eXGhEH4,泰國小館,https://www.instagram.com/explore/locations/980533326/,https://www.instagram.com/p/BwUXns1AFcq/
ChIJD2HpwyGpQjQR9l9qll3g_E0,大杵臼 泰式料理,null,None
ChIJ28rhwYqpQjQRXjs_i80FXzw,泰豐味,https://www.instagram.com/explore/locations/280783789166040/,https://www.instagram.com/p/B8QvnmSBqwo/
ChIJ3d_ex4qpQjQRW3Fzrh74OsY,白帝城川式滷味(公館總店）,https://www.instagram.com/explore/locations/1014165638/,https://www.instagram.com/p/B75sxY3j2lQ/
ChIJO0HpkIupQjQRAlnRafG57o4,公館阿姨滷味,https://www.instagram.com/explore/locations/1014314265312946/,https://www.instagram.com/p/B6nSAd_HXja/
ChIJtUC5Fx6qQjQRIpCo9L3JIJ0,王牌加熱滷味,null,None
ChIJ4SSFmYupQjQRS_HFB6TskW0,軒軒滷味公館分店,null,None
ChIJP-LH3Y2pQjQRW65i8uK59z8,家鄉滷味,null,None
ChIJa3CDx4qpQjQRuD4D7D7UjI8,四川滷味,https://www.instagram.com/explore/locations/2404558/,https://www.instagram.com/p/Bt8VkNanBFA/
ChIJy3pgw4qpQjQRHdZE0gM6HNc,公館滷味王,null,None
ChIJ0wUE64qpQjQRu-O2bz-D1tA,卜乘輕食滷味,https://www.instagram.com/explore/locations/1014314265312946/,https://www.instagram.com/p/B6nSAd_HXja/
ChIJ60kZgYupQjQRXsmrdX69S6A,軒軒滷味,https://www.instagram.com/explore/locations/331561763/,https://www.instagram.com/p/BF9AxA3xVLr/
ChIJ6TW2inqpQjQRaSCaTamHmRg,呷喀煙燻滷味-公館店,null,None
ChIJhWCmmYupQjQRXShLc4dqiDo,阿福鹽酥雞,null,None
ChIJn-RB6oqpQjQRTBPsvDY6QF8,公館夜市【素食鹹酥雞】,https://www.instagram.com/explore/locations/223053217/,https://www.instagram.com/p/B1bT_DPnZV-/
ChIJ_RyeQYypQjQRhfKxcKEnHOs,呷讚便當店,null,None
ChIJLwZF5WCpQjQRFOr1RyV9DcY,泰國密汁便當,null,None
ChIJe4cE6qipQjQR2UmbYuJQubw,金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,null,None
ChIJ8ZHPe2WpQjQRNR3e5ZtTLco,#BFF Gossip Brunch 早午餐-公館店,null,None
ChIJ7-vZNXGpQjQR_4yTwlFtc5g,MWD麥味登台大店,https://www.instagram.com/explore/locations/113880446638177/-cafebrunch/,https://www.instagram.com/p/B-ClEyInubT/
ChIJK8xu34qpQjQRS9iu71heV3g,土司吐司 ToasToasT（公館店）,https://www.instagram.com/explore/locations/782866385180922/,https://www.instagram.com/p/BgL8HgJlJ8f/
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,null,None
ChIJ4cI98NepQjQR3Uy-HdOy5k8,鱷吐司 A Toast,https://www.instagram.com/explore/locations/112671966967574/,https://www.instagram.com/p/CBAv5ujDCsb/
ChIJ0bB2nIupQjQRQMX2--vUgOE,貳樓餐廳 Second Floor Cafe 公館店,https://www.instagram.com/explore/locations/213525762/second-floor-cafe/,https://www.instagram.com/p/CC3aB95j_7e/
