place_id,chinese_name,pinyin
ChIJ5ZCSloupQjQR008IMUu19nQ,THAIHAND 右手餐廳 公館店,THAIHAND  yòu shǒu cān tīng   gōng guǎn diàn 
ChIJWzVrzpupQjQRak2OeMou72M,曼德樂泰式料理,màn dé lè tài shì liào lǐ 
ChIJqRrRhIupQjQRqqEjglBbPZA,母女的店,mǔ nǚ de diàn 
ChIJ9c4-f4ypQjQRXltpsRFuLt0,泰品泰式雲南料理,tài pǐn tài shì yún nán liào lǐ 
ChIJGdF1HIupQjQRTff4eXGhEH4,泰國小館,tài guó xiǎo guǎn 
ChIJD2HpwyGpQjQR9l9qll3g_E0,大杵臼 泰式料理,dà chǔ jiù   tài shì liào lǐ 
ChIJ28rhwYqpQjQRXjs_i80FXzw,泰豐味,tài fēng wèi 
ChIJ3d_ex4qpQjQRW3Fzrh74OsY,白帝城川式滷味(公館總店）,bái dì chéng chuān shì lǔ wèi ( gōng guǎn zǒng diàn ） 
ChIJO0HpkIupQjQRAlnRafG57o4,公館阿姨滷味,gōng guǎn ā yí lǔ wèi 
ChIJtUC5Fx6qQjQRIpCo9L3JIJ0,王牌加熱滷味,wáng pái jiā rè lǔ wèi 
ChIJ4SSFmYupQjQRS_HFB6TskW0,軒軒滷味公館分店,xuān xuān lǔ wèi gōng guǎn fēn diàn 
ChIJP-LH3Y2pQjQRW65i8uK59z8,家鄉滷味,jiā xiāng lǔ wèi 
ChIJa3CDx4qpQjQRuD4D7D7UjI8,四川滷味,sì chuān lǔ wèi 
ChIJy3pgw4qpQjQRHdZE0gM6HNc,公館滷味王,gōng guǎn lǔ wèi wáng 
ChIJ0wUE64qpQjQRu-O2bz-D1tA,卜乘輕食滷味,bo chéng qīng shí lǔ wèi 
ChIJ60kZgYupQjQRXsmrdX69S6A,軒軒滷味,xuān xuān lǔ wèi 
ChIJ6TW2inqpQjQRaSCaTamHmRg,呷喀煙燻滷味-公館店,gā kā yān xūn lǔ wèi - gōng guǎn diàn 
ChIJhWCmmYupQjQRXShLc4dqiDo,阿福鹽酥雞,ā fú yán sū jī 
ChIJn-RB6oqpQjQRTBPsvDY6QF8,公館夜市【素食鹹酥雞】,gōng guǎn yè shì 【 sù shí xián sū jī 】 
ChIJ_RyeQYypQjQRhfKxcKEnHOs,呷讚便當店,gā zàn biàn dāng diàn 
ChIJLwZF5WCpQjQRFOr1RyV9DcY,泰國密汁便當,tài guó mì zhī biàn dāng 
ChIJe4cE6qipQjQR2UmbYuJQubw,金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,jīn tāng shi dòu huā fāng   sù shí   jiǎn cān biàn dāng / tái běi měi shí / tái běi dòu huā / tái běi biàn dāng / tái běi cuò bīng / tái běi tuī jiàn cān tīng / tái běi xiǎo chī 
ChIJ8ZHPe2WpQjQRNR3e5ZtTLco,#BFF Gossip Brunch 早午餐-公館店,#BFF Gossip Brunch  zǎo wǔ cān - gōng guǎn diàn 
ChIJ7-vZNXGpQjQR_4yTwlFtc5g,MWD麥味登台大店,MWD mài wèi dēng tái dà diàn 
ChIJK8xu34qpQjQRS9iu71heV3g,土司吐司 ToasToasT（公館店）,tǔ sī tǔ sī  ToasToasT（ gōng guǎn diàn ） 
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,mì jìng xiǎo shí guāng / yì dà lì miàn / dùn fàn / pái cān / zǎo wǔ cān / shāng yè wǔ cān / wǔ wǎn cān / kā fēi guǎn | xià wǔ chá | chǎng dì zū jiè 
ChIJ4cI98NepQjQR3Uy-HdOy5k8,鱷吐司 A Toast,è tǔ sī  A Toast 
ChIJ0bB2nIupQjQRQMX2--vUgOE,貳樓餐廳 Second Floor Cafe 公館店,èr lóu cān tīng  Second Floor Cafe  gōng guǎn diàn 
ChIJA67rzEupQjQR-pS-IzVjy9s,45 brunch cafe,45 brunch cafe 
ChIJZaHX34qpQjQR19p03u2FS7w,倆倆號,liǎ liǎ hào 
ChIJjSvhGEqrQjQRKF1T3sVyeFY,海音Brunch,hǎi yīn Brunch 
ChIJu4qIP0epQjQRRbcJFrcHVrs,Miss Energy 能量小姐 台北公館店,Miss Energy  néng liàng xiǎo jiě   tái běi gōng guǎn diàn 
ChIJ9eASooupQjQRTsk8akzNros,十二巷拉麵,shí èr xiàng lā miàn 
ChIJWaUkuIqpQjQRNaRGUQb_K6I,京阪豚骨拉麵/公館商圈優質店家/拉麵/,jīng bǎn tún gǔ lā miàn / gōng guǎn shāng quān yōu zhì diàn jiā / lā miàn / 
ChIJPSbdwIqpQjQRlYUb2CvQAZM,山嵐拉麵 公館店,shān lán lā miàn   gōng guǎn diàn 
ChIJPcmlg4upQjQRk6lTJ-goJ5w,Mr. 拉麵野崎家,Mr.  lā miàn yě qí jiā 
ChIJA38vuIqpQjQRC7h-cQ9L0Dc,極麵屋-豚骨/公館拉麵/丼飯,jí miàn wū - tún gǔ / gōng guǎn lā miàn / jǐng fàn 
ChIJW-iwFoupQjQRiu9M_0_8bac,鷹流東京豚骨拉麵-極匠,yīng liú dōng jīng tún gǔ lā miàn - jí jiàng 
ChIJ12ZbGeypQjQRSYEx1ae3Uts,墨洋拉麵,mò yáng lā miàn 
ChIJd_KXmIupQjQRRLfmqJ3ppUA,頑固石板料理 拉麵 蛋包飯,wán gù shí bǎn liào lǐ   lā miàn   dàn bāo fàn 
ChIJn-RB6oqpQjQRTBPsvDY6QF8,公館夜市【素食鹹酥雞】,gōng guǎn yè shì 【 sù shí xián sū jī 】 
ChIJfWS1j4upQjQRcetn4MZu_pw,如來素食樂園,rú lái sù shí lè yuán 
ChIJn7vz44qpQjQREU3WqZK7GPY,大家素食,dà jiā sù shí 
ChIJLZVZNNapQjQR5yY748Vr6cA,素食麵線羹,sù shí miàn xiàn gēng 
ChIJbyUYe4upQjQR_lNK-f2kOv8,料理王健康素食自助餐,liào lǐ wáng jiàn kāng sù shí zì zhù cān 
ChIJ8wtUD4upQjQRAvHhb-IbO3E,新卡莎素食西餐廳,xīn kǎ shā sù shí xī cān tīng 
ChIJC3j59oupQjQRH7rZvc7lWbk,蒸夠臭素食蒸臭豆腐,zhēng gòu chòu sù shí zhēng chòu dòu fǔ 
ChIJWbQXwoqpQjQRpggh9z5EWD0,公館VEGAN麻辣臭豆腐,gōng guǎn VEGAN má là chòu dòu fǔ 
