place_id,chinese_name,pinyin
ChIJ8wrkH4upQjQReXRqJt1VCEg,阿剛泰式主題餐廳,ā gāng tài shì zhǔ tí cān tīng 
ChIJ5ZCSloupQjQR008IMUu19nQ,THAIHAND 右手餐廳 公館店,THAIHAND  yòu shǒu cān tīng   gōng guǎn diàn 
ChIJqRrRhIupQjQRqqEjglBbPZA,母女的店,mǔ nǚ de diàn 
ChIJ9c4-f4ypQjQRXltpsRFuLt0,泰品泰式雲南料理,tài pǐn tài shì yún nán liào lǐ 
ChIJWzVrzpupQjQRak2OeMou72M,曼德樂泰式料理,màn dé lè tài shì liào lǐ 
ChIJD2HpwyGpQjQR9l9qll3g_E0,大杵臼 泰式料理,dà chǔ jiù   tài shì liào lǐ 
ChIJGdF1HIupQjQRTff4eXGhEH4,泰國小館,tài guó xiǎo guǎn 
ChIJxc2Wb4-pQjQRarCVcyHWTWQ,伊洛瓦底,yī luò wǎ dǐ 
ChIJGy7mcY-pQjQRFukLzAo8xUs,健康滷味,jiàn kāng lǔ wèi 
ChIJnZ4GY4-pQjQRnOwvVDnaYS8,大台北平價滷味,dà tái běi píng jià lǔ wèi 
ChIJO0HpkIupQjQRAlnRafG57o4,公館阿姨滷味,gōng guǎn ā yí lǔ wèi 
ChIJ4SSFmYupQjQRS_HFB6TskW0,軒軒滷味公館分店,xuān xuān lǔ wèi gōng guǎn fēn diàn 
ChIJQ2RpasjWDRQRbGaCmsN3u_U,燈籠滷味 創始總店,dēng lóng lǔ wèi   chuàng shǐ zǒng diàn 
ChIJSwZBkYWpQjQRKpcW38-6L_Q,軒軒滷味,xuān xuān lǔ wèi 
ChIJRYP8j4WpQjQRozbIqbGeY4Y,燈籠滷味(創始店),dēng lóng lǔ wèi ( chuàng shǐ diàn ) 
ChIJ1ZsVwCmqQjQRkyBcm0ygWI4,尚讚滷味,shàng zàn lǔ wèi 
ChIJ60kZgYupQjQRXsmrdX69S6A,軒軒滷味,xuān xuān lǔ wèi 
ChIJI9TbyJGpQjQRQgVtHYaneHw,大鹵鍋滷味,dà lǔ guō lǔ wèi 
ChIJ3d_ex4qpQjQRW3Fzrh74OsY,白帝城川式滷味(公館總店）,bái dì chéng chuān shì lǔ wèi ( gōng guǎn zǒng diàn ） 
ChIJP-LH3Y2pQjQRW65i8uK59z8,家鄉滷味,jiā xiāng lǔ wèi 
ChIJ0wUE64qpQjQRu-O2bz-D1tA,卜乘輕食滷味,bo chéng qīng shí lǔ wèi 
ChIJa3CDx4qpQjQRuD4D7D7UjI8,四川滷味,sì chuān lǔ wèi 
ChIJ6TW2inqpQjQRaSCaTamHmRg,呷喀煙燻滷味-公館店,gā kā yān xūn lǔ wèi - gōng guǎn diàn 
ChIJhWCmmYupQjQRXShLc4dqiDo,阿福鹽酥雞,ā fú yán sū jī 
ChIJ4whqhYWpQjQRrYgdjyIv06M,師大蒜味鹹酥雞,shī dà suàn wèi xián sū jī 
ChIJN5sMgIWpQjQRBVYjMgpDIYg,師園鹽酥雞,shī yuán yán sū jī 
ChIJn-RB6oqpQjQRTBPsvDY6QF8,公館夜市【素食鹹酥雞】,gōng guǎn yè shì 【 sù shí xián sū jī 】 
ChIJ_RyeQYypQjQRhfKxcKEnHOs,呷讚便當店,gā zàn biàn dāng diàn 
ChIJDeZ5tiGpQjQRzR7UhIguprk,辛亥池上便當,xīn hài chí shàng biàn dāng 
ChIJAz0YPo6pQjQR2GJnYZk8cLA,圓理想事業有限公司,yuán lǐ xiǎng shì yè yǒu xiàn gōng sī 
ChIJN1FYzY-pQjQRttratn9uib4,池上木片便當,chí shàng mù piàn biàn dāng 
ChIJc0GYVI6pQjQR72CAMLlWePg,喜港式燒臘便當,xǐ gǎng shì shāo là biàn dāng 
ChIJ18uriYWpQjQRNjvDsq3EwPQ,5252便當,5252 biàn dāng 
ChIJGd62CZCpQjQRCXZLeoxmwDU,青葉排骨便當,qīng yè pái gǔ biàn dāng 
ChIJe4cE6qipQjQR2UmbYuJQubw,金湯匙豆花坊 素食 簡餐便當/台北美食/台北豆花/台北便當/台北剉冰/台北推薦餐廳/台北小吃,jīn tāng shi dòu huā fāng   sù shí   jiǎn cān biàn dāng / tái běi měi shí / tái běi dòu huā / tái běi biàn dāng / tái běi cuò bīng / tái běi tuī jiàn cān tīng / tái běi xiǎo chī 
ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光/義大利麵/燉飯/排餐/早午餐/商業午餐/午晚餐/咖啡館|下午茶|場地租借,mì jìng xiǎo shí guāng / yì dà lì miàn / dùn fàn / pái cān / zǎo wǔ cān / shāng yè wǔ cān / wǔ wǎn cān / kā fēi guǎn | xià wǔ chá | chǎng dì zū jiè 
ChIJ8ZHPe2WpQjQRNR3e5ZtTLco,#BFF Gossip Brunch 早午餐-公館店,#BFF Gossip Brunch  zǎo wǔ cān - gōng guǎn diàn 
ChIJ0eBcW7ipQjQRVDXcHDenjuU,加寶多早午餐店,jiā bǎo duō zǎo wǔ cān diàn 
ChIJQxg4-gupQjQRG1_6tkO-vFM,好耶早午餐,hǎo yé zǎo wǔ cān 
ChIJDaM7WI6pQjQR9A52NpFPC84,歐吧早午餐,ōu ba zǎo wǔ cān 
ChIJwcjRCZCpQjQRMAe12OnGfPM,巴和奈野 Brunch Cafe',bā hé nài yě  Brunch Cafe' 
ChIJ4cI98NepQjQR3Uy-HdOy5k8,鱷吐司 A Toast,è tǔ sī  A Toast 
ChIJRfDt-IapQjQRUOPVFCgMI_0,Cafe Bastille,Cafe Bastille 
ChIJ7-vZNXGpQjQR_4yTwlFtc5g,MWD麥味登台大店,MWD mài wèi dēng tái dà diàn 
ChIJK8xu34qpQjQRS9iu71heV3g,土司吐司 ToasToasT（公館店）,tǔ sī tǔ sī  ToasToasT（ gōng guǎn diàn ） 
