,Region,Category,Subcategory,Id,Name,pinyin,Score,IG_link,Google_link
245,wenzhou,日式料理,日式料理,ChIJd9kheYapQjQRDNUDJQo3AOA,欣匠割烹料理,xīn jiàng gē pēng liào lǐ ,6.68667961900757,https://www.instagram.com/explore/locations/284756046/,https://maps.google.com/?cid=16140961581206066444
73,118,日式料理,日式料理,ChIJJbpnMC6qQjQReVq6J1vkalM,千松谷日式料理,qiān sōng gǔ rì shì liào lǐ ,6.672420672213384,https://www.instagram.com/explore/locations/110824913824760/,https://maps.google.com/?cid=6010867732839029369
125,wenzhou,西式/美式,義大利麵,ChIJM7TkUo-pQjQRjgS-tZAS4mo,堤香義大利麵,dī xiāng yì dà lì miàn ,6.666982167825507,https://www.instagram.com/explore/locations/245832852/titian-pasta/,https://maps.google.com/?cid=7701738725490689166
230,wenzhou,台式/小吃,炒飯,ChIJD8YUSompQjQR-oYextibYts,海賊食堂,hǎi zéi shí táng ,6.66549198731524,https://www.instagram.com/explore/locations/413035312/,https://maps.google.com/?cid=15808368997362992890
203,wenzhou,火鍋,火鍋,ChIJn1fdFZCpQjQRnvgTI_LTCkw,聚北海道昆布鍋,jù běi hǎi dào kūn bù guō ,6.654962969142069,https://www.instagram.com/explore/locations/289817214/,https://maps.google.com/?cid=5479424933573687454
324,gongguan,素食/健康,素食,ChIJbyUYe4upQjQR_lNK-f2kOv8,料理王健康素食,liào lǐ wáng jiàn kāng sù shí ,6.647880520246417,None,https://maps.google.com/?cid=18391193439036920830
59,118,台式/小吃,小吃,ChIJo2SDbC6qQjQRgCG3tpiPTEs,日式小吃店,rì shì xiǎo chī diàn ,6.64667507178204,https://www.instagram.com/explore/locations/427946613/,https://maps.google.com/?cid=5425869537137860992
264,gongguan,東南亞,泰式料理,ChIJ8wrkH4upQjQReXRqJt1VCEg,阿剛泰式主題餐廳,ā gāng tài shì zhǔ tí cān tīng ,6.639948965119875,https://www.instagram.com/explore/locations/89001077/,https://maps.google.com/?cid=5190492978865140857
303,wenzhou,西式/美式,早午餐,ChIJRfDt-IapQjQRUOPVFCgMI_0,CafeBastille,CafeBastille ,6.631459773465831,None,https://maps.google.com/?cid=18240436282068427600
311,wenzhou,日式料理,拉麵,ChIJCRRhyY-pQjQR1bZ3_CKgeMU,海拉麵,hǎi lā miàn ,6.626580465962232,https://www.instagram.com/explore/locations/1698020167190576/,https://maps.google.com/?cid=14229299094802118357
158,gongguan,西式/美式,牛排,ChIJcZxRZB2pQjQRuahHVqB5oH0,威宇牛排-公館店,wēi yǔ niú pái - gōng guǎn diàn ,6.615392603181909,https://www.instagram.com/explore/locations/1581137442152420/,https://maps.google.com/?cid=9052368980563962041
367,gongguan,韓式料理,韓式料理,ChIJFzzD4oqpQjQRQhKQwn4ydLM,韓天閣,hán tiān gé ,6.602347698845248,https://www.instagram.com/explore/locations/235463917/,https://maps.google.com/?cid=12931015950099026498
41,118,台式/小吃,水餃,ChIJRfB_uCuqQjQRS9ywVk8bYfI,龍門客棧,lóng mén kè zhàn ,6.5579112637394745,https://www.instagram.com/explore/locations/7727557/,https://maps.google.com/?cid=17465270857490291787
353,gongguan,飲料/甜點,飲料,ChIJGSZSEbmpQjQRaeA4PyFdxRo,龜記茗品-公館店,guī jì míng pǐn - gōng guǎn diàn ,6.5570225091640975,https://www.instagram.com/explore/locations/115370806496817/-/,https://maps.google.com/?cid=1929050412774121577
358,gongguan,台式/小吃,小吃,ChIJw9DD6IqpQjQRsdFH1jKu9RA,越南小吃,yuè nán xiǎo chī ,6.555403425050191,https://www.instagram.com/explore/locations/251153513/,https://maps.google.com/?cid=1222074407267586481
345,gongguan,飲料/甜點,飲料,ChIJrbo9uYqpQjQR8iH6LE-19Qo,COMEBUY_台北汀州店,COMEBUY_ tái běi tīng zhōu diàn ,6.5374971671527025,https://www.instagram.com/explore/locations/228518149/-/,https://maps.google.com/?cid=789736661335024114
342,gongguan,西式/美式,義大利麵,ChIJuyk2l4qpQjQRILRCQId5ZZA,義饗食堂,yì xiǎng shí táng ,6.500170961171353,https://www.instagram.com/explore/locations/192788921272350/just-italian/,https://maps.google.com/?cid=10404856135915058208
290,wenzhou,台式/小吃,便當,ChIJDeZ5tiGpQjQRzR7UhIguprk,辛亥池上便當,xīn hài chí shàng biàn dāng ,6.496769952590479,None,https://maps.google.com/?cid=13377430907029561037
119,118,速食,速食,ChIJT1w6Ay6qQjQR3-aM1y8aXYQ,漢堡王敦南店,hàn bǎo wáng dūn nán diàn ,6.492840051544335,https://www.instagram.com/explore/locations/464709605/burger-king/,https://maps.google.com/?cid=9537808378622699231
298,wenzhou,西式/美式,早午餐,ChIJ0eBcW7ipQjQRVDXcHDenjuU,加寶多早午餐店,jiā bǎo duō zǎo wǔ cān diàn ,6.4769745698154395,https://www.instagram.com/explore/locations/945058873/,https://maps.google.com/?cid=16541342336527643988
69,118,日式料理,日式料理,ChIJVV0ISSqqQjQRV3Yu84qzaTg,魚韻日式料理,yú yùn rì shì liào lǐ ,6.45597148477199,https://www.instagram.com/explore/locations/1029217394/,https://maps.google.com/?cid=4064977548045350487
211,gongguan,台式/小吃,水餃,ChIJjde4khmpQjQR2RF_gS7wxDU,台大大滷麵水餃,tái dà dà lǔ miàn shuǐ jiǎo ,6.4450215607734185,None,https://maps.google.com/?cid=3874485661977219545
34,118,飲料/甜點,飲料,ChIJj9igBSyqQjQRIhneEGIUMTQ,眯糊茶,mī hú chá ,6.444464524497712,https://www.instagram.com/explore/locations/114166673716308/mi_hu/,https://maps.google.com/?cid=3760809575253416226
152,wenzhou,日式料理,咖哩,ChIJO4lhio-pQjQR2Vl2-rAuw30,湯咖哩,tāng kā lī ,6.4265418651388995,https://www.instagram.com/explore/locations/483023715225186/,https://maps.google.com/?cid=9062138212850751961
6,118,西式/美式,義大利麵,ChIJUcEGgSmqQjQRYCaPCUjkuHo,老烤箱義式披薩餐酒,lǎo kǎo xiāng yì shì pī sà cān jiǔ ,6.416560118989414,https://www.instagram.com/explore/locations/237760651/antico-forno/,https://maps.google.com/?cid=8843068866391123552
237,gongguan,台式/小吃,炒飯,ChIJ2y44g4upQjQRUyE9HmNk1ZY,香港亨記(公館店),xiāng gǎng hēng jì ( gōng guǎn diàn ) ,6.387222210430924,https://www.instagram.com/explore/locations/21680051/,https://maps.google.com/?cid=10868703652600422739
28,118,飲料/甜點,飲料,ChIJUV6FAS2qQjQRUthThHvbjbM,清心福全成功店,qīng xīn fú quán chéng gōng diàn ,6.379100201719254,https://www.instagram.com/explore/locations/136122393119079/,https://maps.google.com/?cid=12938238628052850770
273,gongguan,台式/小吃,滷味,ChIJO0HpkIupQjQRAlnRafG57o4,公館阿姨滷味,gōng guǎn ā yí lǔ wèi ,6.365718350865654,https://www.instagram.com/explore/locations/1014314265312946/,https://maps.google.com/?cid=10299373844356487426
165,gongguan,飲料/甜點,冰品,ChIJm6NFboypQjQR-FXOgyKvjA4,Mr.雪腐公館店,Mr. xuě fǔ gōng guǎn diàn ,6.349113979811445,https://www.instagram.com/explore/locations/129964274267114/mr/,https://maps.google.com/?cid=1048405376045569528
134,gongguan,西式/美式,早午餐,ChIJM3P2ruCpQjQREtSGnl9tftI,秘徑小食光,mì jìng xiǎo shí guāng ,6.340488556568209,None,https://maps.google.com/?cid=15167680852479366162
35,118,飲料/甜點,飲料,ChIJfTWPASWrQjQRGvEyaJ5_k4s,御心木瓜牛奶,yù xīn mù guā niú nǎi ,6.3340362675168125,https://www.instagram.com/explore/locations/106625724255076/-/,https://maps.google.com/?cid=10057522711178178842
68,118,台式/小吃,炒飯,ChIJfcJhlymqQjQRYBNOnSjuSkw,馬祖麵館,mǎ zǔ miàn guǎn ,6.323664205901867,https://www.instagram.com/explore/locations/75522205/,https://maps.google.com/?cid=5497468153364353888
130,gongguan,西式/美式,義大利麵,ChIJV4ORn4upQjQRDDNNdhhMaNs,費斯達香草洋食館,fèi sī dá xiāng cǎo yáng shí guǎn ,6.318895016280472,https://www.instagram.com/explore/locations/1939270243010789/freestyle/,https://maps.google.com/?cid=15809970159831823116
138,wenzhou,西式/美式,義大利麵,ChIJXbirD4mpQjQRIaUprnvvILw,Pasta2Go,Pasta2Go ,6.317078989582678,https://www.instagram.com/explore/locations/498127042/pasta-2-go/,https://maps.google.com/?cid=13556098192867173665
145,wenzhou,日式料理,咖哩,ChIJB1avwF2pQjQRKfuOW99lGHY,無名咖哩,wú míng kā lī ,6.304404269822681,https://www.instagram.com/explore/locations/413905682667319/noname/,https://maps.google.com/?cid=8509663505904761641
317,gongguan,日式料理,拉麵,ChIJPSbdwIqpQjQRlYUb2CvQAZM,山嵐拉麵公館店,shān lán lā miàn gōng guǎn diàn ,6.303490317401215,https://www.instagram.com/explore/locations/388815414876973/,https://maps.google.com/?cid=10592976685279970709
157,gongguan,西式/美式,牛排,ChIJ9Tlx4NSpQjQRz_IB3tkM0V4,孫東寶牛排,sūn dōng bǎo niú pái ,6.299677665584374,https://www.instagram.com/explore/locations/324480524999069/,https://maps.google.com/?cid=6832256239569859279
246,wenzhou,日式料理,日式料理,ChIJpfah2pipQjQR_EjvpvU90Xs,朝日壽司,cháo rì shòu sī ,6.291175580291748,https://www.instagram.com/explore/locations/264495761/asahi-sushi/,https://maps.google.com/?cid=8921980462074644732
214,gongguan,台式/小吃,小吃,ChIJzVr3l4upQjQRHTNqYkEgR40,藍家割包,lán jiā gē bāo ,6.289724251826215,https://www.instagram.com/explore/locations/136695/,https://maps.google.com/?cid=10180140947890385693
251,wenzhou,日式料理,日式料理,ChIJ1RzZGJCpQjQRSjPGB8RuQLg,福岡日式簡餐,fú gāng rì shì jiǎn cān ,6.270442740351097,https://www.instagram.com/explore/locations/58369757/,https://maps.google.com/?cid=13276733489711297354
107,118,日式料理,拉麵,ChIJsbGoMy-qQjQRtQClI9-3Ag8,小李子蘭州拉麵,xiǎo lǐ zi lán zhōu lā miàn ,6.26576140555681,https://www.instagram.com/explore/locations/26029754/,https://maps.google.com/?cid=1081629029525946549
362,gongguan,台式/小吃,小吃,ChIJLWeCx4qpQjQRTJ-ObcN700g,小李豬血糕,xiǎo lǐ zhū xuè gāo ,6.258075528257606,None,https://maps.google.com/?cid=5247674070103662412
146,wenzhou,日式料理,咖哩,ChIJb95duVepQjQR9Px18Q2_3aM,咖哩杯杯,kā lī bēi bēi ,6.248141882800971,https://www.instagram.com/explore/locations/113832600465124/,https://maps.google.com/?cid=11807803864641830132
315,wenzhou,日式料理,拉麵,ChIJdUa2QeapQjQRwWxktmaUK2Q,匠麵殿拉麵專門店,jiàng miàn diàn lā miàn zhuān mén diàn ,6.2433927771774815,https://www.instagram.com/explore/locations/396322264277675/,https://maps.google.com/?cid=7218025996658961601
